"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","62","Notes: Validate note page load successfully","tests","Fri May 08 10:50:52 UTC 2026","passed","Fri May 08 10:50:52 UTC 2026","TestNotes","test_notes_app","",""
"","169","Notes: Create note","tests","Fri May 08 10:50:52 UTC 2026","passed","Fri May 08 10:50:52 UTC 2026","TestNotes","test_notes_app","",""
"","687","Invalid login","tests","Fri May 08 10:50:51 UTC 2026","passed","Fri May 08 10:50:52 UTC 2026","TestAuth","test_notes_app","",""
"","32","Notes: Dashboard load successfully","tests","Fri May 08 10:50:52 UTC 2026","passed","Fri May 08 10:50:52 UTC 2026","TestNotes","test_notes_app","",""
"","10293","Notes: Validate notes linking in sidebar","tests","Fri May 08 10:50:53 UTC 2026","broken","Fri May 08 10:51:03 UTC 2026","TestNotes","test_notes_app","",""
"","113","Notes: View note","tests","Fri May 08 10:50:53 UTC 2026","passed","Fri May 08 10:50:53 UTC 2026","TestNotes","test_notes_app","",""
"","123","Notes: Search note","tests","Fri May 08 10:50:52 UTC 2026","passed","Fri May 08 10:50:53 UTC 2026","TestNotes","test_notes_app","",""
"","399","New user can register successfully","tests","Fri May 08 10:50:50 UTC 2026","passed","Fri May 08 10:50:51 UTC 2026","TestAuth","test_notes_app","",""
"","70","Login page load successfully","tests","Fri May 08 10:50:51 UTC 2026","passed","Fri May 08 10:50:51 UTC 2026","TestAuth","test_notes_app","",""
"","196","Notes: Edit note","tests","Fri May 08 10:50:53 UTC 2026","passed","Fri May 08 10:50:53 UTC 2026","TestNotes","test_notes_app","",""
"","218","Register page loads corerctly","tests","Fri May 08 10:50:50 UTC 2026","passed","Fri May 08 10:50:50 UTC 2026","TestAuth","test_notes_app","",""
"","282","Login successful","tests","Fri May 08 10:50:51 UTC 2026","passed","Fri May 08 10:50:51 UTC 2026","TestAuth","test_notes_app","",""
"","126","Notes: Logout successfully","tests","Fri May 08 10:51:03 UTC 2026","passed","Fri May 08 10:51:03 UTC 2026","TestNotes","test_notes_app","",""
